Station,Year,Month,High temp,Low temp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Barisal,2002,5,32.7,24.1,0,0,0,0,16,38,54,1,47,0,5,27,11,14,0,0,0,0,0,0,0,0,3,12,14,25,40,11,0,6,0
Barisal,2002,6,31.9,25.6,2,40,5,3,6,0,0,59,8,1,9,22,88,41,8,0,0,55,0,0,2,50,45,19,9,6,16,0,33,50,
Barisal,2002,7,32.2,25.9,156,102,12,31,61,51,0,0,0,13,20,0,42,27,14,0,4,0,6,20,30,77,20,0,0,6,3,0,9,11,2
Barisal,2002,8,31.5,26,0,10,20,32,27,0,0,6,5,5,11,12,22,22,6,15,15,0,11,7,4,4,14,10,0,2,2,3,6,1,0
Barisal,2002,9,31.8,25.5,0,15,0,30,8,0,2,0,15,56,55,34,0,0,0,11,0,0,0,0,7,0,12,34,9,6,31,12,9,0,
Barisal,2002,10,31.7,23.6,0,0,0,1,0,0,0,10,0,0,0,0,0,7,19,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2002,11,29.7,19.8,0,0,0,0,0,0,0,0,0,0,0,18,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barisal,2002,12,27,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2003,1,23.9,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2003,2,28.9,16.1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Barisal,2003,3,30.9,19.5,0,0,0,0,0,0,0,0,0,0,0,0,45,0,3,7,31,2,1,10,0,0,0,0,0,0,0,9,0,0,9
Barisal,2003,4,33.5,24.8,39,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,34,0,0,0,0,0,0,3,2,
Barisal,2003,5,33.6,26,13,0,46,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,3,0,0,2,5,0,0,0,0,0
Barisal,2003,6,31.1,25.7,0,0,0,0,0,17,0,9,0,0,51,45,0,13,0,0,2,3,14,1,56,109,73,49,0,13,12,0,39,15,
Barisal,2003,7,31.8,26.5,6,1,0,0,0,0,7,0,0,5,14,3,6,1,0,3,1,0,4,4,7,12,1,6,0,15,10,38,37,15,47
Barisal,2003,8,32,26.7,4,6,5,0,0,0,0,0,8,42,13,31,0,2,5,4,2,0,8,0,0,0,7,7,0,2,0,3,12,11,14
Barisal,2003,9,31.7,26.1,6,19,21,6,6,1,21,33,0,0,0,13,6,1,0,1,0,6,0,5,0,3,0,0,0,0,55,2,1,0,
Barisal,2003,10,31.9,24.8,0,0,0,0,8,0,34,97,73,4,1,0,0,0,0,0,0,0,1,0,34,0,0,2,15,1,1,29,1,0,0
Barisal,2003,11,30,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barisal,2003,12,26.1,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,11,0,0,0,0,0,0,0,0,0,1,0,0
Barisal,2004,1,24.2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2004,2,28.4,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Barisal,2004,3,32.4,21.8,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2004,4,32.6,24.3,0,0,0,0,6,0,0,7,0,29,1,0,0,0,0,0,0,0,0,1,0,0,0,37,0,0,0,1,0,5,
Barisal,2004,5,34.5,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,0,59,25,12,0,0,0,0,2,0,0
Barisal,2004,6,32,25.6,0,0,0,59,0,0,13,0,1,4,0,2,7,12,9,5,47,0,29,19,22,20,41,0,0,2,0,0,18,6,
Barisal,2004,7,31.4,25.9,0,0,2,26,2,1,32,9,18,1,0,0,0,1,2,17,5,9,1,7,9,14,0,8,4,0,13,23,15,10,12
Barisal,2004,8,31.2,26.1,0,1,12,1,28,43,16,2,6,0,11,12,79,39,1,2,0,2,2,4,2,4,2,0,0,1,58,22,48,0,80
Barisal,2004,9,30.9,25.5,1,71,8,4,1,0,0,14,3,0,30,134,89,71,37,245,129,2,17,40,0,0,69,2,55,0,0,33,0,12,
Barisal,2004,10,31,23.3,0,0,0,2,26,24,55,65,1,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2004,11,29.4,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barisal,2004,12,27.4,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2005,1,25.5,12.5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2005,2,30.1,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Barisal,2005,3,32.3,22.1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,31,46,37,0,0,0,0,0,1
Barisal,2005,4,34.5,24.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
Barisal,2005,5,34,25.4,3,0,0,0,6,4,4,0,0,0,17,0,0,0,0,0,0,2,0,49,0,0,0,0,0,0,0,0,0,0,0
Barisal,2005,6,33.7,27.1,0,0,0,0,10,54,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,9,13,4,27,2,33,138,12,
Barisal,2005,7,31,25.9,14,70,61,5,100,20,0,0,3,7,9,16,8,26,62,14,1,0,0,0,2,0,1,1,0,10,12,3,4,9,5
Barisal,2005,8,31.7,26.2,2,0,2,3,9,25,13,0,12,3,51,7,0,0,0,0,3,9,20,14,8,32,39,0,2,0,5,5,38,0,0
