Station,Year,Month,High temp,Low temp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Month_Total
Dhaka,1995,3,33.8,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1995,4,36.5,24.6,0,0,0,0,0,0,0,0,45,31,0,1,4,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,88
Dhaka,1995,5,34.6,26.3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,11,71,76,72,0,0,0,3,16,0,0,9,0,0,0,0,0,264
Dhaka,1995,6,32.8,26.9,0,0,0,0,1,0,6,0,0,0,4,2,13,33,0,0,19,78,49,5,0,9,0,8,3,2,0,0,3,2,,237
Dhaka,1995,7,31.8,26.3,0,0,46,20,56,14,15,0,0,7,3,20,3,0,2,3,0,0,0,1,1,7,7,7,1,0,55,40,4,17,25,354
Dhaka,1995,8,32.5,26.5,2,2,0,10,13,22,0,20,3,1,0,0,70,83,36,5,1,0,5,47,7,1,0,0,1,0,12,10,8,0,1,360
Dhaka,1995,9,32.4,26.3,0,4,13,13,1,14,0,0,0,6,0,0,1,0,0,0,7,33,6,13,35,0,0,0,1,16,23,1,11,7,,205
Dhaka,1995,10,32.8,24,0,0,0,0,3,0,1,0,34,0,0,1,0,0,0,0,0,0,0,6,0,43,0,0,0,0,0,0,0,0,3,91
Dhaka,1995,11,29.8,19.9,2,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,,112
Dhaka,1995,12,27,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Dinajpur,1995,1,23.6,8.8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Dinajpur,1995,2,26.7,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,,,,12
Dinajpur,1995,3,31.5,16.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10
Dinajpur,1995,4,35.8,21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dinajpur,1995,5,35.8,25.2,0,0,0,0,0,0,0,13,7,0,1,0,0,0,0,8,14,0,0,0,11,0,0,0,0,0,0,0,0,0,0,54
Dinajpur,1995,6,32.6,26,0,0,0,0,2,0,17,8,1,3,0,35,0,0,0,0,50,22,120,1,4,1,7,9,3,0,1,3,0,0,,287
Dinajpur,1995,7,31.3,25.4,1,60,11,6,8,41,160,6,6,26,0,23,27,0,0,0,38,23,4,2,0,0,0,10,3,0,0,8,0,0,9,472
Dinajpur,1995,8,32,25.5,19,10,0,8,78,4,0,0,3,3,15,26,141,60,42,76,0,0,1,8,15,0,0,1,4,0,0,27,47,5,0,593
Dinajpur,1995,9,31.3,24.6,0,5,14,2,2,1,4,2,2,0,3,4,0,12,0,0,5,18,19,10,4,209,17,0,0,0,13,366,299,15,,1026
Dinajpur,1995,10,31.8,22.4,0,0,0,0,0,19,0,0,0,0,0,0,2,0,0,0,0,33,6,0,16,1,0,0,0,0,0,0,0,0,0,77
Dinajpur,1995,11,28.5,17.2,0,0,0,0,0,0,0,0,0,56,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,74
Dinajpur,1995,12,25.2,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Faridpur,1995,1,24,11.4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Faridpur,1995,2,27.2,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,,,,8
Faridpur,1995,3,33,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faridpur,1995,4,37,24.3,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,45
Faridpur,1995,5,34.6,26,0,0,0,25,0,0,0,0,2,0,0,0,3,2,9,20,193,21,0,0,0,6,0,0,0,0,0,0,0,0,0,281
Faridpur,1995,6,32.4,26.4,0,0,7,0,0,0,0,0,0,0,6,3,95,22,0,0,2,120,9,108,2,0,5,10,0,5,0,1,0,0,,395
Faridpur,1995,7,31,25.7,2,52,19,14,36,92,13,0,0,56,9,19,2,0,4,12,19,4,1,0,1,2,2,13,4,0,12,78,6,10,25,507
Faridpur,1995,8,31.6,26.3,1,0,2,7,14,8,0,0,2,11,3,16,112,28,19,0,6,2,10,109,3,2,7,0,0,1,3,0,0,0,0,366
Faridpur,1995,9,31.5,26.1,0,3,36,10,0,3,4,0,0,0,25,0,11,0,0,0,26,10,12,1,0,0,0,0,27,18,11,20,8,31,,256
Faridpur,1995,10,31.7,24.6,11,0,0,0,0,0,0,2,7,0,0,7,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,1,5,42
Faridpur,1995,11,28.6,19.7,0,0,0,0,0,0,0,0,0,89,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,,97
Faridpur,1995,12,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Feni,1995,1,26,11.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Feni,1995,2,27.9,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,1,34,0,0,0,,,,61
Feni,1995,3,33.1,19.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,54
Feni,1995,4,33.4,23.9,32,0,0,0,0,4,0,19,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,87
Feni,1995,5,32.9,26.2,0,9,0,0,0,35,0,7,0,76,0,11,0,2,1,63,149,39,0,0,0,32,0,0,0,0,0,0,0,0,0,424
Feni,1995,6,31.4,25.4,1,0,23,1,25,8,4,5,0,34,0,9,47,9,0,0,3,110,60,162,51,28,7,3,8,4,0,10,27,0,,639
Feni,1995,7,30.6,24.7,2,69,49,69,233,40,0,0,1,14,2,24,6,4,3,34,8,0,0,9,0,12,12,8,0,0,3,10,0,2,6,620
Feni,1995,8,31.7,24.8,0,2,4,23,13,3,0,2,5,5,0,35,120,47,4,1,12,83,51,76,18,1,2,2,3,0,4,2,31,0,0,549
Feni,1995,9,31.4,25.1,3,0,65,28,0,40,7,0,1,7,0,0,2,0,58,0,2,2,19,17,5,8,19,2,3,8,0,19,4,0,,319
